Club,New
1. FC Heidenheim,Heidenheim
1. FC Koln,FC Koln
1. FC Nurnberg,Nurnberg
1. FSV Mainz 05,Mainz
1860 Munchen,Munich 1860
1899 Hoffenheim,Hoffenheim
A. Minas G.,A. Minas G.
Aalborg BK,Aalborg BK
Aalesunds FK,Aalesunds FK
Aarhus GF,Aarhus GF
Aberdeen,Aberdeen
AC Ajaccio,Ajaccio
AC Horsens,AC Horsens
Accrington,Accrington
AD Alcorcon,Alcorcon
Adanaspor,Adanaspor
Adelaide United,Adelaide United
Admira Wacker,Admira Wacker
ADO Den Haag,Den Haag
AFC Wimbledon,AFC Wimbledon
Aguilas Doradas,Aguilas Doradas
AIK,AIK
AJ Auxerre,Auxerre
Ajax,Ajax
Akhisarspor,Akhisar Belediyespor
Al Ahli,Al Ahli
Al Batin,Al Batin
Al Faisaly,Al Faisaly
Al Fateh,Al Fateh
Al Hilal,Al Hilal
Al Ittihad,Al Ittihad
Al Khaleej,Al Khaleej
Al Nassr,Al Nassr
Al Qadisiyah,Al Qadisiyah
Al Raed,Al Raed
Al Shabab,Al Shabab
Al Taawoun,Al Taawoun
Al Wehda,Al Wehda
Al-Ettifaq,Al-Ettifaq
Al. Petrolera,Al. Petrolera
Albirex Niigata,Albirex Niigata
America,America
Amiens SC,Amiens
Amkar Perm,Amkar Perm
Angers SCO,Angers
Antalyaspor,Antalyaspor
Anzhi Makhachkala,Anzhi Makhachkala
Arka Gdynia,Arka Gdynia
Arminia Bielefeld,Bielefeld
Arouca,Arouca
Arsenal,Arsenal
Arsenal Tula,Arsenal Tula
AS Monaco,Monaco
AS Nancy,Nancy
AS Saint-Etienne,St Etienne
Aston Villa,Aston Villa
Atalanta,Atalanta
Athletic Bilbao,Ath Bilbao
Atl. Nacional,Atl. Nacional
Atl. Paranaense,Atl. Paranaense
Atlas,Atlas
Atletico Bucaramanga,Atletico Bucaramanga
Atletico Huila,Atletico Huila
Atletico Madrid,Ath Madrid
Atletico Mineiro,Atletico Mineiro
Atletico Tucuman,Atletico Tucuman
Audax Italiano,Audax Italiano
Austria Wien,Austria Wien
Avai,Avai
Avellino,Avellino
Avispa Fukuoka,Avispa Fukuoka
Aytemiz Alanyaspor,Alanyaspor
AZ,AZ Alkmaar
Bahia Blanca,Bahia Blanca
Banfield,Banfield
Bari,Bari
Barnet,Barnet
Barnsley,Barnsley
Bayer 04,Leverkusen
Belenenses,Belenenses
Belgrano,Belgrano
Benevento,Benevento
Besiktas,Besiktas
Birmingham City,Birmingham
BK Hacken,BK Hacken
Blackburn Rovers,Blackburn
Blackpool,Blackpool
Boavista,Boavista
Boca Juniors,Boca Juniors
Bohemian FC,Bohemian FC
Bologna,Bologna
Bolton,Bolton
Bor. Dortmund,Dortmund
Bor. M'gladbach,M'gladbach
Borgocalcio,Ascoli
Botafogo,Botafogo
Bourg-Peronnas,Bourg Peronnas
Bournemouth,Bournemouth
Boyaca Chico,Boyaca Chico
Bradford City,Bradford
Braunschweig,Braunschweig
Bray Wanderers,Bray Wanderers
Brentford,Brentford
Brescia,Brescia
Brighton,Brighton
Brisbane Roar,Brisbane Roar
Brisigonza,Virtus Entella
Bristol City,Bristol City
Bristol Rovers,Bristol Rvs
Brondby IF,Brondby IF
BSC Young Boys,BSC Young Boys
Burnley,Burnley
Bursaspor,Bursaspor
Burton Albion,Burton
Bury,Bury
CA Osasuna,Osasuna
CA Talleres,CA Talleres
Cadiz C.F.,Cadiz
Cagliari,Cagliari
Cambridge Utd,Cambridge
Cardiff City,Cardiff
Carlisle United,Carlisle
Carpi,Carpi
Caykur Rizespor,Rizespor
CD Antofagasta,CD Antofagasta
CD Cobresal,CD Cobresal
CD Everton,CD Everton
