Club,New
 SSV Jahn Regensburg,Regensburg
1. FC Heidenheim 1846,Heidenheim
1. FC Kaiserslautern,1. FC Kaiserslautern
1. FC Koln,FC Koln
1. FC Magdeburg,Magdeburg
1. FC Nurnberg,Nurnberg
1. FC Union Berlin,Union Berlin
1. FSV Mainz 05,Mainz
Aalborg BK,Aalborg BK
Aarhus GF,Aarhus GF
Aberdeen,Aberdeen
AC Ajaccio,Ajaccio
AC Horsens,AC Horsens
Accrington Stanley,Accrington
AD Alcorcon,Alcorcon
Adelaide United,Adelaide United
ADO Den Haag,Den Haag
AEK Athens,AEK Athens
AFC Wimbledon,AFC Wimbledon
AIK,AIK
AJ Auxerre,Auxerre
Ajax,Ajax
Akhisar Belediyespor,Akhisar Belediyespor
Al Ahli,Al Ahli
Al Batin,Al Batin
Al Faisaly,Al Faisaly
Al Fateh,Al Fateh
Al Fayha,Al Fayha
Al Hazem,Al Hazem
Al Hilal,Al Hilal
Al Ittihad,Al Ittihad
Al Nassr,Al Nassr
Al Qadisiyah,Al Qadisiyah
Al Raed,Al Raed
Al Shabab,Al Shabab
Al Taawoun,Al Taawoun
Al Wehda,Al Wehda
Alanyaspor,Alanyaspor
Albacete BP,Albacete
Alianza Petrolera,Alianza Petrolera
America de Cali,America de Cali
America FC (Minas Gerais),America FC (Minas Gerais)
Amiens SC,Amiens
Angers SCO,Angers
Antalyaspor,Antalyaspor
Argentinos Juniors,Argentinos Juniors
Arka Gdynia,Arka Gdynia
Arsenal,Arsenal
AS Beziers,Beziers
AS Monaco,Monaco
AS Nancy Lorraine,Nancy
AS Saint-Etienne,St Etienne
Ascoli,Ascoli
Aston Villa,Aston Villa
Atalanta,Atalanta
Athletic Club de Bilbao,Ath Bilbao
Atiker Konyaspor,Konyaspor
Atlanta United,Atlanta United
Atletico Bucaramanga,Atletico Bucaramanga
Atletico Huila,Atletico Huila
Atletico Madrid,Ath Madrid
Atletico Mineiro,Atletico Mineiro
Atletico Nacional,Atletico Nacional
Atletico Paranaense,Atletico Paranaense
Atletico Tucuman,Atletico Tucuman
Audax Italiano,Audax Italiano
AZ Alkmaar,AZ Alkmaar
Bahia,Bahia
Barnsley,Barnsley
Bayer 04 Leverkusen,Leverkusen
BB Erzurumspor,Erzurum BB
Beijing Renhe FC,Beijing Renhe FC
Beijing Sinobo Guoan FC,Beijing Sinobo Guoan FC
Belgrano de Cordoba,Belgrano de Cordoba
Benevento,Benevento
Besiktas JK,Besiktas
Birmingham City,Birmingham
BK Hacken,BK Hacken
Blackburn Rovers,Blackburn
Blackpool,Blackpool
Boavista FC,Boavista
Boca Juniors,Boca Juniors
Bohemian FC,Bohemian FC
Bologna,Bologna
Bolton Wanderers,Bolton
Borussia Dortmund,Dortmund
Borussia Monchengladbach,M'gladbach
Botafogo,Botafogo
Bournemouth,Bournemouth
Boyaca Chico FC,Boyaca Chico FC
Bradford City,Bradford
Bray Wanderers,Bray Wanderers
Brentford,Brentford
Brescia,Brescia
Brighton & Hove Albion,Brighton
Brisbane Roar,Brisbane Roar
Bristol City,Bristol City
Bristol Rovers,Bristol Rvs
Brondby IF,Brondby IF
BSC Young Boys,BSC Young Boys
Burnley,Burnley
Bursaspor,Bursaspor
Burton Albion,Burton
Bury,Bury
CA Osasuna,Osasuna
Cadiz CF,Cadiz
Cagliari,Cagliari
Cambridge United,Cambridge
Cardiff City,Cardiff
Carlisle United,Carlisle
Carpi,Carpi
Caykur Rizespor,Rizespor
CD Antofagasta,CD Antofagasta
CD Aves,Aves
CD Everton de Vioa del Mar,CD Everton de Vioa del Mar
CD Feirense,Feirense
CD Huachipato,CD Huachipato
CD Leganes,Leganes
CD Lugo,Lugo
CD Nacional,Nacional
CD Numancia,Numancia
CD O'Higgins,CD O'Higgins
CD Palestino,CD Palestino
CD Tenerife,Tenerife
CD Tondela,Tondela
CD Universidad de Concepcion,CD Universidad de Concepcion
Ceara Sporting Club,Ceara Sporting Club
Celtic,Celtic
Central Coast Mariners,Central Coast Mariners
Cerezo Osaka,Cerezo Osaka
CF Rayo Majadahonda,Rayo Majadahonda
CF Reus Deportiu,Reus Deportiu
Chamois Niortais Football Club,Niort
Changchun Yatai FC,Changchun Yatai FC
Chapecoense,Chapecoense
Charlton Athletic,Charlton
Chelsea,Chelsea
Cheltenham Town,Cheltenham
Chicago Fire,Chicago Fire
Chievo Verona,Chievo
Chongqing Dangdai Lifan FC SWM Team,Chongqing Dangdai Lifan FC SWM Team
Cittadella,Cittadella
Clermont Foot 63,Clermont
Club America,Club America
Club Atlas,Club Atlas
Club Atletico Aldosivi,Club Atletico Aldosivi
Club Atletico Banfield,Club Atletico Banfield
Club Atletico Colon,Club Atletico Colon
Club Atletico Huracan,Club Atletico Huracan
Club Atletico Lanus,Club Atletico Lanus
Club Atletico Talleres,Club Atletico Talleres
Club Atletico Tigre,Club Atletico Tigre
Club Brugge KV,Club Brugge
Club Deportes Temuco,Club Deportes Temuco
Club Leon,Club Leon
Club Necaxa,Club Necaxa
Club Tijuana,Club Tijuana
Clube Sport Maritimo,Maritimo
Colchester United,Colchester
Colo-Colo,Colo-Colo
Colorado Rapids,Colorado Rapids
Columbus Crew SC,Columbus Crew SC
Cordoba CF,Cordoba
Cork City,Cork City
Cosenza,Cosenza
Coventry City,Coventry
Cracovia,Cracovia
Crawley Town,Crawley Town
Crewe Alexandra,Crewe
Crotone,Crotone
Cruz Azul,Cruz Azul
Cruzeiro,Cruzeiro
Crystal Palace,Crystal Palace
Curico Unido,Curico Unido
Daegu FC,Daegu FC
Dalian YiFang FC,Dalian YiFang FC
Dalkurd FF,Dalkurd FF
DC United,DC United
De Graafschap,Graafschap
Defensa y Justicia,Defensa y Justicia
Deportes Iquique,Deportes Iquique
Deportes Tolima,Deportes Tolima
Deportivo Alaves,Alaves
Deportivo Cali,Deportivo Cali
Deportivo de La Coruoa,La Coruna
Deportivo Pasto,Deportivo Pasto
Deportivo Toluca,Deportivo Toluca
Derby County,Derby
Derry City,Derry City
Dijon FCO,Dijon
Dinamo Zagreb,Dinamo Zagreb
Djurgardens IF,Djurgardens IF
Doncaster Rovers,Doncaster
DSC Arminia Bielefeld,Bielefeld
Dundalk,Dundalk
Dundee FC,Dundee
Dynamo Kyiv,Dynamo Kyiv
Eintracht Braunschweig,Eintracht Braunschweig
Eintracht Frankfurt,Ein Frankfurt
Elche CF,Elche
Empoli,Empoli
En Avant de Guingamp,Guingamp
Envigado FC,Envigado FC
Esbjerg fB,Esbjerg fB
ESTAC Troyes,Troyes
Estudiantes de La Plata,Estudiantes de La Plata
Ettifaq FC,Ettifaq FC
Everton,Everton
Excelsior,Excelsior
Exeter City,Exeter
Extremadura UD,Extremadura UD
FC Admira Wacker Modling,FC Admira Wacker Modling
FC Augsburg,Augsburg
FC Barcelona,Barcelona
FC Basel 1893,FC Basel 1894
FC Bayern Munchen,Bayern Munich
FC Carl Zeiss Jena,FC Carl Zeiss Jena
FC Dallas,FC Dallas
FC Emmen,FC Emmen
FC Energie Cottbus,FC Energie Cottbus
FC Erzgebirge Aue,Erzgebirge Aue
FC Girondins de Bordeaux,Bordeaux
FC Groningen,Groningen
FC Hansa Rostock,FC Hansa Rostock
FC Ingolstadt 04,Ingolstadt
FC Kobenhavn,FC Kobenhavn
FC Lorient,Lorient
FC Lugano,FC Lugano
FC Luzern,FC Luzern
FC Metz,Metz
FC Midtjylland,FC Midtjylland
FC Nantes,Nantes
FC Nordsjalland,FC Nordsjalland
FC Porto,Porto
FC Red Bull Salzburg,FC Red Bull Salzburg
FC Schalke 04,Schalke 04
FC Seoul,FC Seoul
FC Sion,FC Sion
FC Sochaux-Montbeliard,Sochaux
FC St. Gallen,FC St. Gallen
FC St. Pauli,St Pauli
FC Thun,FC Thun
FC Tokyo,FC Tokyo
FC Utrecht,Utrecht
FC Wacker Innsbruck,FC Wacker Innsbruck
FC Wurzburger Kickers,FC Wurzburger Kickers
FC Zurich,FC Zurich
Fenerbahae SK,Fenerbahce
Feyenoord,Feyenoord
Fiorentina,Fiorentina
FK Austria Wien,FK Austria Wien
FK Bodo/Glimt,FK Bodo/Glimt
FK Haugesund,FK Haugesund
Fleetwood Town,Fleetwood Town
Fluminense,Fluminense
Foggia,Foggia
Forest Green Rovers,Forest Green
Fortuna Dusseldorf,Fortuna Dusseldorf
Fortuna Sittard,For Sittard
Frosinone,Frosinone
FSV Zwickau,FSV Zwickau
Fulham,Fulham
Galatasaray SK,Galatasaray
Gamba Osaka,Gamba Osaka
Gangwon FC,Gangwon FC
GD Chaves,Chaves
Genoa,Genoa
Getafe CF,Getafe
GFC Ajaccio,Ajaccio GFCO
GIF Sundsvall,GIF Sundsvall
Gillingham,Gillingham
Gimnasia y Esgrima La Plata,Gimnasia y Esgrima La Plata
Gimnsstic de Tarragona,Gimnastic
Girona FC,Girona
Godoy Cruz,Godoy Cruz
Gornik Zabrze,Gornik Zabrze
Goztepe SK,Goztep
Granada CF,Granada
Grasshopper Club Zurich,Grasshopper Club Zurich
Gremio,Gremio
Grenoble Foot 38,Grenoble
Grimsby Town,Grimsby
Guadalajara,Guadalajara
Guangzhou Evergrande Taobao FC,Guangzhou Evergrande Taobao FC
Guangzhou R&F; FC,Guangzhou R&F; FC
Guizhou Hengfeng FC,Guizhou Hengfeng FC
Gyeongnam FC,Gyeongnam FC
Hallescher FC,Hallescher FC
Hamburger SV,Hamburg
Hamilton Academical FC,Hamilton
Hammarby IF,Hammarby IF
Hannover 96,Hannover
Heart of Midlothian,Hearts
Hebei China Fortune FC,Hebei China Fortune FC
Hellas Verona,Verona
Henan Jianye FC,Henan Jianye FC
Heracles Almelo,Heracles
Hertha BSC,Hertha
Hibernian,Hibernian
HJK Helsinki,HJK Helsinki
Hobro IK,Hobro IK
Hokkaido Consadole Sapporo,Hokkaido Consadole Sapporo
Holstein Kiel,Holstein Kiel
Houston Dynamo,Houston Dynamo
Huddersfield Town,Huddersfield
Hull City,Hull
IF Brommapojkarna,IF Brommapojkarna
IF Elfsborg,IF Elfsborg
IFK Goteborg,IFK Goteborg
IFK Norrkoping,IFK Norrkoping
IK Sirius,IK Sirius
IK Start,IK Start
Incheon United FC,Incheon United FC
Independiente,Independiente
Independiente Medellin,Independiente Medellin
Independiente Santa Fe,Independiente Santa Fe
Inter,Inter
